time,coin,dir,px,sz,ntl,fee,closedPnl
2025/10/31 18:43:07,ETH,Open Long,3851.4,0.647,2491.8558000000003,1.121334,-1.121334
2025/10/31 18:51:00,ETH,Close Long,3846.1,0.647,2488.4267,1.119791,-4.548891
2025/10/31 21:30:16,SOL,Open Short,186.73,3.96,739.4508,0.332751,-0.332751
2025/10/31 21:45:09,ETH,Open Short,3836.4,0.449,1722.5436,0.775144,-0.775144
2025/10/31 22:10:39,SOL,Close Short,188.541969697,3.96,746.6262000001201,0.335981,-7.511381
2025/10/31 22:12:18,ETH,Close Short,3854.1,0.449,1730.4909,0.77872,-8.72602
2025/10/31 22:15:26,BNB,Open Short,1079,0.352,379.808,0.170913,-0.170913
2025/10/31 22:54:39,BNB,Close Short,1085,0.352,381.91999999999996,0.171864,-2.283864
2025/10/31 22:57:57,HYPE,Open Short,44.893,8.42,377.99906,0.170099,-0.170099
2025/10/31 23:13:13,XRP,Open Short,2.5309,149,377.1041,0.169696,-0.169696
2025/10/31 23:40:13,HYPE,Close Short,44.17,8.42,371.9114,0.16736,5.920299999999999
2025/10/31 23:40:17,SOL,Open Short,188.31,3.8,715.578,0.32201,-0.32201
2025/10/31 23:53:52,XRP,Close Short,2.5241,149,376.0909,0.16924,0.84396
2025/10/31 23:56:56,HYPE,Open Short,44.051,8.72,384.12472,0.172856,-0.172856
2025/11/1 00:12:00,ETH,Open Short,3849.8,0.3369,1296.9976199999999,0.583648,-0.583648
2025/11/1 01:20:53,HYPE,Close Short,42.498,8.72,370.58256,0.166762,13.375398
2025/11/1 01:27:06,HYPE,Open Short,42.782,9.62,411.56283999999994,0.185203,-0.185203
2025/11/1 01:39:04,HYPE,Close Short,43.132,9.62,414.92983999999996,0.186718,-3.553718
2025/11/1 02:20:59,BNB,Open Short,1077.1,0.4,430.84,0.193878,-0.193878
2025/11/1 02:53:55,SOL,Close Short,185.6895526316,3.8,705.62030000008,0.317528,9.640172000000002
2025/11/1 03:05:56,SOL,Open Short,185.2,2.7,500.04,0.225018,-0.225018
2025/11/1 03:44:17,SOL,Close Short,188.54,2.7,509.058,0.229076,-9.247076
2025/11/1 03:54:06,SOL,Open Short,188.87,1.98,373.9626,0.168283,-0.168283
2025/11/1 04:06:01,SOL,Close Short,187.9882828283,1.98,372.21680000003397,0.167495,1.578305
2025/11/1 04:35:57,BNB,Close Short,1087.6,0.4,435.03999999999996,0.195768,-4.395768
2025/11/1 05:00:05,SOL,Open Short,186.86,2.07,386.8002,0.17406,-0.17406
2025/11/1 06:11:48,ETH,Close Short,3863.3,0.3369,1301.54577,0.585695,-5.133845
2025/11/1 06:11:51,SOL,Close Short,187.55,2.07,388.2285,0.174702,-1.6030019999999998
2025/11/1 06:23:53,ETH,Open Long,3854.1,0.6203,2390.69823,1.075813,-1.075813
2025/11/1 06:29:54,ETH,Close Long,3855.242447203,0.6203,2391.4068900000207,1.076132,-0.36747200000000013
2025/11/1 06:39:08,BNB,Open Long,1088.4,0.459,499.57560000000007,0.224809,-0.224809
2025/11/1 07:41:48,BNB,Close Long,1089.8,0.459,500.2182,0.225098,0.41750199999999993
2025/11/1 07:45:05,HYPE,Open Short,43.829,11.41,500.08889,0.22504,-0.22504
2025/11/1 07:59:53,ETH,Open Short,3845.9,0.4899,1884.10641,0.847847,-0.847847
2025/11/1 08:59:29,HYPE,Close Short,44.21,11.41,504.4361,0.226996,-4.574205999999999
2025/11/1 10:33:04,SOL,Open Short,185.84,2.03,377.25519999999995,0.169764,-0.169764
2025/11/1 10:35:58,BNB,Open Short,1081.9,0.091,98.4529,0.044303,-0.044303
2025/11/1 11:09:02,SOL,Close Short,186.77,2.03,379.1431,0.170614,-2.0585139999999997
2025/11/1 11:09:05,BNB,Close Short,1087.8,0.091,98.98979999999999,0.044545,-0.581445
2025/11/1 11:21:03,SOL,Open Short,187.1,1.98,370.45799999999997,0.166706,-0.166706
2025/11/1 12:17:56,SOL,Close Short,186.31,1.98,368.8938,0.166002,1.398198
2025/11/1 13:20:54,ETH,Close Short,3864.8259848949,0.4899,1893.3782500000116,0.852018,-10.123857999999998
2025/11/1 13:24:09,HYPE,Open Long,44.35,8.3,368.105,0.165647,-0.165647
2025/11/1 13:41:58,HYPE,Close Long,44.376,8.3,368.3208,0.165744,0.05005599999999999
2025/11/1 13:48:02,BNB,Open Long,1087.1,0.339,368.5269,0.165837,-0.165837
