time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/9 23:53:31,XRP,Open Short,2.3293,172,400.6396,0.173076,-0.173076
2025/11/10 00:05:33,ETH,Open Long,3517.6,0.4624,1626.5382399999999,0.702664,-0.702664
2025/11/10 00:14:25,ETH,Close Long,3505.9,0.4624,1621.12816,0.700327,-6.1104069999999995
2025/11/10 00:20:30,XRP,Close Short,2.3099,172,397.3028,0.171634,3.165166
2025/11/10 00:32:31,BTC,Open Short,103407,0.02128,2200.50096,0.950615,-0.950615
2025/11/10 00:32:34,BTC,Close Short,103415,0.02128,2200.6712,0.950689,-1.120929
2025/11/10 00:35:31,BTC,Open Short,103312,0.00717,740.74704,0.320002,-0.320002
2025/11/10 00:46:20,ETH,Open Long,3520.6,0.4299,1513.50594,0.653834,-0.653834
2025/11/10 00:49:17,BTC,Close Short,103644,0.00717,743.12748,0.321031,-2.701471
2025/11/10 00:49:19,ETH,Close Long,3524.4,0.4299,1515.13956,0.65454,0.9790800000000001
2025/11/10 00:52:19,BNB,Open Short,1001.5,0.499,499.7485,0.215891,-0.215891
2025/11/10 00:58:22,BNB,Close Short,1001.4,0.499,499.6986,0.215869,-0.165969
2025/11/10 01:01:16,BTC,Open Short,103865.3688853248,0.01247,1295.2011500000003,0.559525,-0.559525
2025/11/10 01:04:18,BNB,Open Long,999.51,0.15,149.9265,0.064768,-0.064768
2025/11/10 01:25:15,BNB,Close Long,994.66,0.15,149.19899999999998,0.064453,-0.791953
2025/11/10 01:34:14,BTC,Close Short,103823,0.01247,1294.67281,0.559298,-0.031816999999999984
2025/11/10 02:01:21,HYPE,Open Long,41.235,9.51,392.14484999999996,0.169406,-0.169406
2025/11/10 02:07:23,HYPE,Close Long,41.343,9.51,393.17193000000003,0.16985,0.8572299999999999
2025/11/10 02:49:20,BTC,Open Short,104218,0.02069,2156.27042,0.931508,-0.931508
2025/11/10 02:58:16,BTC,Close Short,104542,0.02069,2162.97398,0.934404,-7.637964
2025/11/10 03:01:16,BTC,Open Short,104570,0.01215,1270.5255,0.548867,-0.548867
2025/11/10 03:10:14,BTC,Close Short,104306,0.01215,1267.3179,0.547481,2.660119
2025/11/10 03:52:15,ETH,Open Short,3573.6,0.1084,387.37824,0.167347,-0.167347
2025/11/10 03:55:15,ADA,Open Short,0.58239,664,386.70696,0.167057,-0.167057
2025/11/10 04:04:19,ETH,Close Short,3588.9,0.1084,389.03676,0.168063,-1.826583
2025/11/10 04:04:22,ADA,Close Short,0.58307,664,387.15848,0.167252,-0.618772
2025/11/10 04:04:25,BTC,Open Long,105001,0.0094,987.0094,0.426388,-0.426388
2025/11/10 04:16:14,BTC,Close Long,104442,0.0094,981.7548,0.424118,-5.678718
